Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Paige Wideman,4.1,59,Art,0.2,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/739639,0.7349999999999999
Helen Bukulmez,4.5,10,Law,0.9,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2354760,0.7347272727272728
Katherine Sliter,4.7,8,Psychology,0.0,1.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1647671,0.7346666666666667
Charles Heath,4.3,7,Marketing,0.86,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2283925,0.7325
Mike King,4.2,25,Theater,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/393703,0.7324615384615385
Bryan Holmes,3.8,6,Poli-Science & Crim. Justice,0.67,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2521116,0.7321428571428571
Mike Sterling,4.7,9,Management,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/835380,0.732
Lauren Mohr,5.0,1,Communication,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2616114,0.73
Vickie Knueven,5.0,1,English,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2412180,0.73
Lori Wheeler,5.0,1,Fine Arts,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2455534,0.73
Beth Ackerson,5.0,1,Business Informatics,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2364772,0.73
Aaron Zlatkin,3.8,4,Film,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2275900,0.73
Megan Peek,5.0,1,Communication,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2321029,0.73
Traci Freeman,5.0,5,Nursing,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/959097,0.73
Bobby Platt,5.0,1,Law,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2834018,0.73
JeeEun Lee,4.4,4,Fine Arts,1.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2732466,0.73
Jason  Farkas,5.0,1,Social Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2873319,0.73
Ralph Draper,5.0,1,Engineering,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2462756,0.73
Krista Weiss,5.0,1,Music,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2769384,0.73
Willie Elliott,4.4,14,Social Work,0.0,1.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/770947,0.73
Judith Meeker-Archer,4.1,8,Theater,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/722102,0.7286666666666666
Frank Sheehy,4.1,26,Geology,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/991553,0.7268888888888888
Chris Strobel,4.5,21,Communication,0.67,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/610105,0.7253636363636364
Jessica Mandle,5.0,3,Business,0.0,1.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1600550,0.723
